Id,UserName,DisplayName,RegisterDate,PerformanceTier,Country,PerformanceName
1,kaggleteam,Kaggle Team,3/24/2011,5,,5:Kaggleteam
368,antgoldbloom,Anthony Goldbloom,1/20/2010,5,USA,5:Kaggleteam
392,jmeynet,Julien Meynet,2/3/2010,3,Spain,3:Master
421,dremovd,Dmitry Dryomov,2/28/2010,3,Russia,3:Master
543,quansun,Quan Sun,4/19/2010,3,NZ,3:Master
726,teamben,Ben,5/6/2010,3,Australia,3:Master
808,alexxanderlarko,Alexander  Larko,5/14/2010,4,Russia,4:Grandmaster
829,adamhusein,Adam,5/18/2010,3,United States,3:Master
835,jzbontar,Jure Zbontar,5/19/2010,3,Slovenia,3:Master
887,hugmee,Hug Mi,5/24/2010,3,Australia,3:Master
926,dirknbr,Dirk Nachbar,5/26/2010,3,United Kingdom,3:Master
993,benhamner,Ben Hamner,5/31/2010,5,United States,5:Kaggleteam
1004,jasonkarpeles,Jason Karpeles,6/2/2010,3,United States,3:Master
1300,brianelwell,Brian Elwell,6/15/2010,3,United States,3:Master
1335,salimali,Sali Mali,6/22/2010,4,Australia,4:Grandmaster
1356,compassucl,Lewis Griffin,6/23/2010,3,United Kingdom,3:Master
1376,yuchuntang,Yuchun Tang,6/23/2010,3,United States,3:Master
1455,mjahrer,Michael Jahrer,6/25/2010,4,Austria,4:Grandmaster
1483,yassertabandeh,Yasser Tabandeh,6/27/2010,4,,4:Grandmaster
1539,abifet,Albert,6/29/2010,3,New Zealand,3:Master
1553,edramsden,Ed Ramsden,6/29/2010,3,United States,3:Master
1602,chefele,Christopher Hefele,7/1/2010,4,United States,4:Grandmaster
1744,chrisraimondi,Chris Raimondi,7/9/2010,3,United States,3:Master
1902,solorzano,José H. Solórzano,7/21/2010,4,Ecuador,4:Grandmaster
1927,bernhard1,BlackMagic,7/23/2010,3,New Zealand,3:Master
1941,dvmodeler,David Vogel,7/26/2010,3,United States,3:Master
1950,sskiing,Rowan,7/27/2010,5,Australia,5:Kaggleteam
1955,glouppe,Gilles Louppe,7/27/2010,3,Switzerland,3:Master
1996,mikhailz,Mikhail,8/1/2010,3,France,3:Master
2036,konradb,Konrad Banachewicz,8/3/2010,3,Netherlands,3:Master
2081,outis1,Yannis Sismanis,8/4/2010,3,United States,3:Master
2100,leebaker,Lee Baker,8/4/2010,3,United States,3:Master
2140,dslate,David J. Slate,8/5/2010,4,United States,4:Grandmaster
2145,diogoff,Diogo,8/5/2010,3,Portugal,3:Master
2194,uriblass,Uri Blass,8/5/2010,3,Israel,3:Master
2233,pwfrey42,Peter W Frey,8/7/2010,3,United States,3:Master
2242,domcastro,Bluefool,8/8/2010,4,United Kingdom,4:Grandmaster
2403,chrisbrew,joshnk,8/19/2010,3,USA,3:Master
2412,neocortex,Charlie Tang,8/19/2010,4,Canada,4:Grandmaster
2505,jeffmoser,Jeff Moser,8/21/2010,5,US,5:Kaggleteam
2591,dejavu,Cole Harris,8/25/2010,3,United States,3:Master
2641,johndun,John Dunavent,8/27/2010,3,United States,3:Master
2687,jmalicki,jmalicki,8/30/2010,3,United States,3:Master
2702,alecstephenson,Alec Stephenson,9/1/2010,3,Australia,3:Master
2768,rwieczor,RobertW,9/6/2010,3,Poland,3:Master
2809,onemillionmonkeys,Eric Jackson,9/9/2010,3,United States,3:Master
2820,alegro,alegro,9/11/2010,3,Ukraine,3:Master
2827,mpionnier,Marcin Pionnier,9/12/2010,3,Poland,3:Master
2840,imaxus,Maxim,9/13/2010,3,Russian Federation,3:Master
3021,pprett,Peter Prettenhofer,9/22/2010,3,Austria,3:Master
3050,martinreichert,Martin Reichert,9/23/2010,3,Germany,3:Master
3090,dyakonov,Alexander D'yakonov,9/28/2010,4,Russian Federation,4:Grandmaster
3218,cugliari,Jairo,10/9/2010,3,France,3:Master
3230,naokazumizuta,Naokazu Mizuta,10/10/2010,4,Japan,4:Grandmaster
3232,cdubois,Chris,10/10/2010,3,United States,3:Master
3256,jhoward,Jeremy Howard,10/13/2010,4,United States,4:Grandmaster
3258,wcukierski,William Cukierski,10/13/2010,5,United States,5:Kaggleteam
3324,nickmirsky,Nick Mirsky,10/19/2010,3,United States,3:Master
3346,ejlok1,Eu Jin Lok,10/21/2010,4,AU,4:Grandmaster
3375,timsalimans,Tim Salimans,10/25/2010,4,Netherlands,4:Grandmaster
3527,quyntk,Kim Quy,11/9/2010,3,Vietnam,3:Master
3592,byang1,B Yang,11/12/2010,4,Canada,4:Grandmaster
